gst_number,salesman_name,s_id,salesman_contact,salesman_email,transportation_mode,item_id
425898298JQ8733,Nehemiah,SID057,1195109099,nornilst@amazon.com,TrailBlazer,G3321
890781472UA7267,Cordi,SID852,6527064555,ckistingu@ovh.net,Thunderbird,G3186
013820452WP4563,Elita,SID443,2228846740,etinsleyv@jimdo.com,Suburban,G6817
104386272WW6762,Jessey,SID036,3414334280,jmcartw@census.gov,Stealth,G7702
064230332QC3283,Elga,SID781,8219985059,egasnollx@msn.com,Silverado 1500,G5850
715648988SL3890,Shaun,SID283,1708026761,sdiviney@cpanel.net,Grand Vitara,G7440
324787023QW6667,Idaline,SID343,1147210505,ipagetz@list-manage.com,Accent,G3765
990303086KW8900,Tommie,SID085,8387416748,tpuleque10@geocities.jp,Leganza,G4766
173084512JZ9003,Annmarie,SID930,5725281958,amatussevich11@ft.com,Jetta,G1538
367694278NU1821,Annissa,SID415,9471521843,ajacobowits12@fc2.com,Q5,G6256
129601455HX0198,Jessika,SID777,4122220375,jsandwick13@dmoz.org,Galant,G0787
315754370WX2922,Fawn,SID155,1866205550,fmunkley14@mac.com,FX,G3285
741538387PC8223,Leonidas,SID164,7316571949,lhanselmann15@amazonaws.com,Blazer,G6696
356491839TS4078,Kari,SID325,9322568012,kfishe16@clickbank.net,Accent,G8376
341481346NS1394,Eloisa,SID964,2755416801,epapa17@etsy.com,C-Class,G0226
912179884TU7644,Phebe,SID328,5164380471,plhommeau18@hhs.gov,Mustang,G1183
505470650GA7448,Inglis,SID806,7775683021,ireek1a@amazon.co.uk,New Beetle,G3834
181504099ST8953,Chuck,SID313,8338501447,cevangelinos1b@xing.com,Colorado,G8567
724463399GB2484,Denna,SID989,4314461308,drospars1c@ft.com,Yukon,G5413
171569714JI2554,Pandora,SID711,7782651328,pbazire1d@rakuten.co.jp,Mustang,G8067
398766550NI4424,Keir,SID010,1323070436,kworwood1e@vinaora.com,Entourage,G8455
921258876UX1909,Francisco,SID609,9254949194,fkehir1f@jiathis.com,Caravan,G8417
869889074EF5298,Caprice,SID196,5888074141,cantonognoli1g@ustream.tv,F150,G9062
191099845RZ5357,Winnah,SID783,9589728659,wcarress1h@deviantart.com,350Z,G7990
713833548ZC6971,Joshia,SID290,4718876253,jiacabucci1i@wp.com,Corvette,G5313
242644987HV0383,Sheena,SID260,2761477581,sjereatt1j@quantcast.com,Sixty Special,G3122
903420261LS8949,Alexis,SID696,2895319568,alambertson1k@illinois.edu,SLS-Class,G7359
023620953DM1724,Kim,SID401,6947328919,kmackneis1l@reuters.com,Explorer,G0873
517635333LT8302,Ebeneser,SID643,1286470979,ematuskiewicz1m@tripadvisor.com,E-Class,G8011
281373265OF1154,Cherianne,SID343,9899902289,csciusscietto1n@nytimes.com,Taurus,G6153
005407024XR9432,Mateo,SID597,8434135124,mdenore1o@huffingtonpost.com,R-Class,G0654
970642596KI5002,Debra,SID362,5754811972,dpepys1p@yolasite.com,MDX,G9027
632242309ZJ9434,Loraine,SID352,5054415171,lpracy1q@epa.gov,Riviera,G3912
685474942JY4371,Merrill,SID209,4572713005,mkelberer1r@mtv.com,riolet,G4979
942926967LI5943,Starla,SID130,7119691352,sbrikner1s@tinyurl.com,Sierra,G4990
097266569MB2465,Laurette,SID118,4406607122,ldaleman1t@fastcompany.com,Town Car,G0344
713279845LT7249,Concordia,SID034,5032212305,cbauldry1u@delicious.com,RX-8,G9919
889663627RE1761,Liva,SID008,6358019682,lfelkin1v@geocities.jp,Element,G9043
643970763DJ6360,Vale,SID597,3719599047,vblasoni1w@vkontakte.ru,Talon,G5254
485164283BG9101,Eldredge,SID474,2919949892,esalway1y@businessinsider.com,Ram 1500,G4249
343662695ZD6008,Chelsey,SID456,5477847958,cnovello1z@domainmarket.com,Firebird,G4438
669336599OS1050,Richardo,SID981,8748069340,rmcward20@go.com,Sunfire,G9616
339146165HQ4697,Rosene,SID616,8153601003,rkarlqvist21@over-blog.com,Express 2500,G7644
295520424RP8278,Gunter,SID338,6279017393,grigglesford22@java.com,Lynx,G2618
134973454CS4760,Krysta,SID913,7536708892,kfriedlos23@ameblo.jp,MINI,G6861
519188859WP8813,Quintin,SID538,5355760082,qcraigie24@newyorker.com,S60,G7459
661307487JM5493,Jocelin,SID768,9306507161,jepton25@wix.com,Veracruz,G9836
413809676MD6282,Bogey,SID466,4586748333,bjosovitz26@si.edu,Summit,G4200
285419406GJ4334,Washington,SID056,2559820771,wpatley27@ihg.com,Tacoma,G6744
784538144JL5758,Shelley,SID727,7789269909,sashwood29@google.com,Rabbit,G6790
641655283DG7614,Ethan,SID133,7765785884,emadgett2a@mtv.com,F350,G6266
735315726YV3198,Matthias,SID203,9302373571,mknoller2b@baidu.com,RAV4,G0502
864162720AP5141,Dag,SID151,3814395271,dcoal2c@soup.io,D250,G6328
582846282IV6834,Dina,SID370,2275244592,dnowaczyk2d@yelp.com,C70,G3229
677178116WM8755,Shaina,SID892,4234415195,sbasant2e@smugmug.com,Ranger,G0703
997621597WE3050,Alejandra,SID476,4659820615,anary2f@exblog.jp,Cayenne,G1178
632530487VA9655,Milena,SID655,1111225959,momalley2h@instagram.com,Monte Carlo,G7557
638553523HJ3419,Denna,SID293,1393438970,dsturgess2i@deviantart.com,E-Series,G6902
294291163FA9725,Shelbi,SID735,6709838641,swyborn2j@nytimes.com,Camaro,G2433
777404372ZK5632,Ermentrude,SID901,3603166032,emakeswell2k@tripod.com,Forester,G7216
808784500YF5669,Boony,SID521,2913149349,bhanhard2l@mozilla.com,Firebird,G4890
929897533WZ7551,Celle,SID330,4634711855,csutherel2m@sakura.ne.jp,Cobalt,G0819
338669515EM3741,Morton,SID982,8757084664,mkondrachenko2n@delicious.com,C-Class,G4208
399206901ON0787,Glyn,SID024,8466509604,gmccool2o@seattletimes.com,Ram Van 2500,G1205
061468548BL2391,Vlad,SID556,2099895607,viannuzzi2q@mail.ru,STS-V,G0347
817707622KB7333,Delbert,SID215,8063639002,dghione2r@google.com.br,Montero,G0346
834062109LG2841,Tobi,SID664,4718658744,thalle2s@gravatar.com,Sunbird,G9452
904459897MK1443,Dena,SID522,4521615356,dberthel2t@geocities.com,Escalade,G5589
300327151BJ0496,Forrest,SID484,6634645519,fmicklem2u@addthis.com,Sportage,G9147
117618133PG8404,Kirsten,SID991,2271520711,kmcgonnell2v@meetup.com,LTD Crown Victoria,G3571
574372068HB3643,Nikolaos,SID333,6065431174,nmaccafferky2w@pinterest.com,MKX,G7644
325865944MC5139,Debra,SID165,2444282102,dfonte2x@mlb.com,Montero,G1836
749127930OF2836,Selby,SID968,2418668780,swhittall2y@moonfruit.com,Taurus,G6382
358957115GH4709,Ignace,SID429,1934299310,iroan2z@ow.ly,Thunderbird,G6478
301957369MY4983,Lorry,SID389,4279597388,lcrummay30@oracle.com,Golf,G5890
196462821LP1735,Jaquenetta,SID143,5661325289,jstickins31@spiegel.de,Tiburon,G3675
643800412VR6619,Jacklyn,SID830,6507981339,jcradey32@npr.org,Clubman,G0584
183934260VV4760,Lindsy,SID565,6493064735,lhayer33@technorati.com,Explorer Sport Trac,G7383
274451402WD5588,Carma,SID135,7628038896,cyearron34@microsoft.com,GTO,G1672
132671781TR3979,Iver,SID116,7274560532,iluten35@hexun.com,Continental,G5196
333226024VT8758,Mikel,SID779,1243459641,mrevans36@huffingtonpost.com,Eldorado,G7037
387933405RA8247,Mildred,SID329,1391030651,mcollington37@eepurl.com,Sparrow,G3578
795977200JV6090,Pam,SID858,1518791280,pmewhirter38@jugem.jp,Altima,G2653
720681564ZM4026,Kacie,SID191,9777204012,kgian3a@yellowpages.com,Avanti,G0076
601503717GA7654,Amalee,SID311,4615435944,amailes3b@mapquest.com,Ranger,G9114
553945712RZ5272,Lacy,SID722,8459488652,lemer3c@hhs.gov,RAV4,G7001
599203045UT6590,Alister,SID728,8726123855,apoge3d@nature.com,CLS-Class,G5411
598203077BZ0877,Tani,SID956,2162012109,tdugan3e@seattletimes.com,Clubman,G5202
348276042FX8736,Dulce,SID107,9256801650,deagger3f@goo.gl,Swift,G0804
125944853AK3549,Lonee,SID966,2564558210,linglesfield3g@bravesites.com,Wrangler,G2850
066262747ER7757,Allen,SID769,9001528305,abloy3h@theguardian.com,Firebird,G7749
727584062AU6707,Diarmid,SID338,9097669017,dlafayette3i@biblegateway.com,ZDX,G0562
796670323EC1383,Audra,SID114,3843765108,awatling3j@youtube.com,Thunderbird,G7992
273244751OJ3979,Kerrin,SID978,3241647495,kjupp3k@odnoklassniki.ru,Cayman,G5209
452717038ON2236,Ryun,SID597,6029215046,rhallard3l@is.gd,Capri,G7939
951722122AP0157,Delphine,SID576,7152294668,dchattaway3m@fda.gov,Suburban 2500,G2519
949948668NN4532,Shanie,SID604,2036197704,smioni3n@photobucket.com,Grand Voyager,G0344
826470170XF7425,Sanders,SID491,4288593267,sballard3o@purevolume.com,Gallardo,G6616
988058087AI0326,Gregorio,SID236,4273887307,gsnugg3p@mac.com,Impreza,G5515
400696785EZ8762,Wilona,SID599,5188174739,wpunch3q@nasa.gov,Swift,G0625
112594346AC7002,Shermy,SID477,4998727021,sivanichev3r@time.com,Camaro,G8033
245484083SL9071,Judith,SID565,3959681964,jwhotton3s@comsenz.com,Accent,G2913
986037862WZ4805,Loni,SID610,8949945919,lbartolommeo3t@xinhuanet.com,D150,G9571
402223846HC9338,Kristofor,SID423,2541298828,kbolf3u@imgur.com,Neon,G0633
683057420JN2140,Wilhelmina,SID405,1682436968,wstanlack3v@hubpages.com,Justy,G9354
467306220CV5497,Emiline,SID931,3244760589,eord3w@theatlantic.com,Town Car,G4520
624463386CP8116,Ileana,SID395,3934072506,ilyddyard3x@wix.com,Sentra,G0118
437421049PX8472,Allyn,SID996,7087771598,asonner3y@theatlantic.com,Cutlass Cruiser,G7681
044236813RD2567,Faustine,SID289,1441185497,fwhewill3z@gov.uk,Cabriolet,G4789
304654359TF9926,Filbert,SID506,6428600992,fsancto40@deviantart.com,Miata MX-5,G5568
833058578RL4499,Guglielma,SID453,7238348244,ggerrit41@privacy.gov.au,LTD,G7438
525363144PH1105,Domingo,SID952,7588053266,dairdrie42@nba.com,GL-Class,G4041
433632799PR7788,Hope,SID721,6965274723,hkubu43@eventbrite.com,Grand Cherokee,G5723
498922118NW7398,Pauli,SID575,3772762266,pcansdale44@clickbank.net,RX-7,G4147
555471348XW4315,Lem,SID512,6211331929,laimeric45@go.com,C30,G0979
322781147WO1449,Allx,SID711,5519372153,avittore46@1und1.de,SL-Class,G4449
672811592QG0374,Zachery,SID422,3536260082,zosselton47@drupal.org,Riviera,G5029
358771447AY0160,Tanney,SID093,4793540195,tdowner48@mail.ru,ES,G7511
543017449PH1075,Fabio,SID839,9063577333,fgier49@studiopress.com,Golf,G6048
092224171VL5884,Babara,SID259,5485360737,betuck4a@howstuffworks.com,Starion,G4605
411819350YR5581,Lionello,SID639,6385128251,lpiggins4c@ovh.net,Sprinter,G8522
884877039GQ3996,Iain,SID873,1722060744,imccully4d@bing.com,E150,G4722
743786288FJ3895,Hernando,SID762,1011116535,hiliffe4e@123-reg.co.uk,F150,G1525
123698736BG0759,Tim,SID939,9676884895,tchill4f@telegraph.co.uk,Nitro,G5207
477796351GO7697,Loralie,SID335,8323193437,lwildman4g@ca.gov,Miata MX-5,G0203
106420311RU7964,Gracie,SID301,3108054150,gshillitoe4h@opera.com,Yukon Denali,G3851
965125214TP9090,Heinrick,SID222,4484200717,hschuchmacher4i@nsw.gov.au,Z8,G0725
326436136KN2490,Aurlie,SID453,1401384337,aclarey4j@jugem.jp,Quest,G2095
953521378RJ5095,Moselle,SID290,9573155137,mchristin4k@dion.ne.jp,Mirage,G8593
222740672HB6714,Shandra,SID493,5042044394,sbraybrooke4l@weibo.com,Cirrus,M703
680357572HQ6499,Lari,SID569,4174071091,lledekker4m@blogger.com,Camry,M187
891759337SC6387,Aline,SID534,5764598791,amcerlaine4n@adobe.com,Thunderbird,M909
165874626GN8710,Orion,SID776,7155288830,omattiacci4o@alibaba.com,Sonoma,M819
495301446ZW2613,Byrann,SID003,8013732827,bcunnow4p@illinois.edu,Cougar,M035
355583848DN4696,Davidson,SID422,9121927641,dwellsman4q@myspace.com,Equinox,M724
426744991SL0994,Kaia,SID292,8439773952,kabrahami4r@princeton.edu,Firebird,M586
536445229XD2919,Sutherlan,SID651,5866617534,salessandrelli4s@dropbox.com,Windstar,M703
809918225EY3742,Kit,SID232,4198596889,kholdren4t@usgs.gov,E-Series,M400
608650026GC2628,Robbyn,SID643,7276373184,rdaubney4u@mail.ru,IS-F,M044
688149847UD4940,Rhiamon,SID443,9579754393,rcomolli4v@altervista.org,DeVille,M146
289138882TG6555,Hinda,SID036,4966194269,hmcnirlan4w@cornell.edu,Ram,M503
091351605HF8564,Dwain,SID560,1178992633,dtrattles4x@washingtonpost.com,Civic,M484
711982558ND0990,Margot,SID884,2569323877,mbligh4y@stanford.edu,Passat,M528
432165156ZE6798,Ginni,SID688,7293463673,gnicklinson4z@noaa.gov,Patriot,M123
512527226MS1954,Martina,SID320,7807098148,mmullarkey50@youku.com,A5,M850
607993608RW4520,Ugo,SID520,2069160818,ubampkin51@tuttocitta.it,,M193
580963713WQ4997,Clementine,SID799,3258159677,cimison52@spotify.com,Land Cruiser,M764
885906395ZV5278,Wynnie,SID821,1159201847,wsifleet53@bloomberg.com,Ram,M534
414166586PM6075,Mirna,SID786,5542691737,mluscott54@sciencedaily.com,LaCrosse,M135
510891045KR6261,Barnabas,SID868,4725196643,bjanout55@usgs.gov,Lancer,M521
914938890RV3743,Leona,SID544,2541741167,lfawkes56@webmd.com,,M266
155075599PU3443,Forrest,SID070,8469738235,flemerie57@icq.com,Grand Prix,M585
842332341LS3218,Jacky,SID459,1512763663,jmacvagh58@over-blog.com,Jetta,M745
642197894RR3309,Carolann,SID682,7123923102,caartsen59@multiply.com,Lanos,M047
777070706SA7908,Kathi,SID134,6395258454,kburdin5a@yandex.ru,xD,M442
619021266VN6179,Odilia,SID088,5749435214,ojurkowski5b@yahoo.com,Accord,M108
983800228ZU4760,Thor,SID953,6545218022,tblakemore5c@mac.com,Yukon,M062
912777962IM7111,Ronny,SID232,6703480076,rjirus5d@google.com,Eos,M162
846743266JK7701,Dallis,SID230,7524153979,dcarnew5e@fema.gov,300ZX,M056
612607348IK3845,Axe,SID830,7039416445,ahallums5f@about.me,HS,M653
447630270VP1702,Aurea,SID014,1017791594,afawcus5g@psu.edu,Town & Country,M774
780103153TT1367,Carlie,SID916,5812382189,cronchi5h@jiathis.com,Aerio,M154
367370839FJ7427,Stacey,SID496,6534628494,swhitehead5i@japanpost.jp,S10,M770
520174387CH5997,Hubey,SID696,4093285015,hsiemianowicz5j@rambler.ru,Intrepid,M616
026749893VQ7385,Angil,SID998,6173580819,asturgeon5k@ted.com,LS,M056
253434828TO0594,Karil,SID954,9244986797,ksinnott5l@about.me,2500 Club Coupe,M337
601042322KJ0585,Barrett,SID146,7819699441,bjeffryes5m@freewebs.com,DeVille,M827
433101524HV7784,Emmalynne,SID867,1409393997,eciementini5n@apache.org,E-Class,M288
981235264BL5914,Lola,SID329,1804243436,lseymour5o@chronoengine.com,300TE,M507
534819338UQ3050,Ezra,SID777,6007663647,emecco5p@hatena.ne.jp,RX,M294
820081182VU3124,Katherina,SID050,4185972141,kjenton5q@pinterest.com,M6,M181
189997363VF7520,Alric,SID418,6276013853,abamlett5r@slashdot.org,Daewoo Magnus,M007
562007856UB3900,Karalee,SID266,7804043628,khalling5s@sourceforge.net,Grand Vitara,M955
172176852IL8790,Emili,SID286,4726862534,eelcock5t@canalblog.com,LS,M646
486356939PU7460,Jade,SID104,6881237199,jfairlaw5u@macromedia.com,Corvette,M106
273578144UU8010,Delia,SID734,5642554656,dmcgeffen5v@auda.org.au,Talon,M053
959590467RS3175,Isak,SID357,1044907089,ibrimming5w@deliciousdays.com,Enclave,M395
347331709BA3291,Urbano,SID414,5683807132,uabbatucci5x@homestead.com,Rally Wagon 2500,M977
132516811FC9487,Isiahi,SID954,7489576506,ibarff5y@drupal.org,Accent,M511
636364269PR0804,Nicky,SID946,4719723671,ndarnell5z@admin.ch,Eurovan,M475
911325725ZL9999,Lenna,SID607,8423165290,lserot60@princeton.edu,Fortwo,M051
011566774NE2050,Tessy,SID251,2469023805,tgradwell61@youtu.be,Mountaineer,M715
957821097SY3682,Aurie,SID809,9878849582,abeedie62@dyndns.org,TrailBlazer,M527
605950315MM3282,Corine,SID079,9044147414,cberndtsson63@amazon.com,Sonoma Club Coupe,M131
504176348NN2376,Melody,SID459,2731267340,meich64@google.de,A6,M043
886987576ZR2184,Parry,SID561,9543123932,pgiacobbinijacob65@mapquest.com,DeVille,M171
118610874RH1632,Ashlan,SID447,5775029465,asancroft66@mozilla.org,CC,M579
702548762TX3655,Dyna,SID068,7312981258,dmalamore68@nationalgeographic.com,Colorado,M664
484078184SM0848,Alie,SID611,3671410722,awaylett69@wufoo.com,Highlander,M229
079119205ST7855,Korrie,SID431,6045285726,kclemanceau6b@webnode.com,Blazer,M186
053903221YI6642,Hestia,SID185,9525319727,hfoker6c@prweb.com,Ram 1500,M484
628297435BE3273,Cordelie,SID065,5606512246,cmanterfield6d@youku.com,Bonneville,M697
079826966CA8899,Wilma,SID275,7232109766,wbosanko6e@feedburner.com,CTS,M860
976135008WR6076,Corny,SID005,6501275015,cmoggach6f@canalblog.com,Venture,M699
583375095OF3968,Kaitlynn,SID976,2572534050,kockenden6g@telegraph.co.uk,Challenger,M052
530509913PV0557,Marillin,SID232,6687153022,mfullagar6h@whitehouse.gov,C70,M761
014459449ZS9540,Derek,SID055,7743892609,dtwigger6i@typepad.com,Phantom,M813
640974449WE4569,Brandy,SID476,9052476405,btruett6j@networkadvertising.org,MX-3,M240
741026740CR1679,Ethe,SID708,2802793265,ealvarado6k@newsvine.com,TT,M889
980491497GN1474,Adara,SID394,4694024511,aclemendot6l@networksolutions.com,Express 2500,M585
188970880FQ7999,Krysta,SID704,3107322326,kheadan6m@cyberchimps.com,Caprice,M226
630312681AW7596,Bernie,SID804,4873121019,bbanasik6n@columbia.edu,Sonata,M304
736816146GP9910,Merissa,SID427,8438327041,mshucksmith6o@youtube.com,S80,M981
649819839XL2285,Lay,SID504,9567572417,lruncie6p@wiley.com,Cabriolet,M893
953061676VC2555,Jessalyn,SID005,9877452356,jshoebottom6q@marriott.com,Rio,M527
325062427NI4899,Gaston,SID207,1672708032,gchristol6r@naver.com,Fiesta,M925
176502378EZ0448,Inez,SID445,1816700289,igert6s@slideshare.net,Dakota,M877
741784552CA8085,Celisse,SID658,4594437190,ccaswell6t@time.com,Frontier,M158
852975342WP6124,Bab,SID949,4967099078,beliassen6u@domainmarket.com,Explorer,M079
989285597EZ1695,Ham,SID609,7459182747,hpash6w@cdbaby.com,Endeavor,M876
343436626FT5211,Corliss,SID168,1537889197,ccofax6x@w3.org,Storm,M262
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
